case_id,model,weight_precision,cache_codec,key_cache_codec,value_cache_codec,status,executed,failure_stage,failure_reason,model_path,model_sha256,model_size_bytes,fork_url,fork_branch,fork_commit,context_tokens,max_new_tokens,load_ms,ttft_ms,prompt_tps,tpot_ms,decode_tps,generation_duration_ms,peak_working_set_mb,peak_private_mb,available_ram_min_mb,kv_mb,quality_score,quality_prompt_count,raw_result_path,raw_result_sha256
granite-8b__int8__u8,granite-8b,int8,u8,u8,u8,model_artifact_unavailable,false,model_acquisition,no validated OpenVINO artifact supplied for granite-8b int8,,,,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,,,,,,,,,,,,,,,,
granite-8b__fp16__u8,granite-8b,fp16,u8,u8,u8,model_artifact_unavailable,false,model_acquisition,no validated OpenVINO artifact supplied for granite-8b fp16,,,,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,,,,,,,,,,,,,,,,
granite-8b__int4__f16,granite-8b,int4,f16,f16,f16,passed,true,,,C:\Users\Student\IBM-Granite-Edge-AI-Optimisation-using-TurboQuant\.worktrees\openvino-turboquant-recovery\external\models\openvino\granite-4.1-8b-int4-cw-ov-d84b1d1,789db59c53b45da8b8143b90f11d268597658d6f9eae6cbb049c20343b01fcd4,4400454177,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,23,32,1789.0,14642.585938,,130.077194,7.687743,18675.472656,8538.121,4378.312,2220.363,,0.0,48,experiments\raw-results\openvino-experimental-fork\2026-08-30\fv6\raw\granite-8b__int4__f16.json,3538aa6dfe4d243793d321e2be4b89373a93cd82bf3c6eb5a60ffee5e951fb5d
granite-8b__int8__f16,granite-8b,int8,f16,f16,f16,model_artifact_unavailable,false,model_acquisition,no validated OpenVINO artifact supplied for granite-8b int8,,,,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,,,,,,,,,,,,,,,,
granite-8b__fp16__f16,granite-8b,fp16,f16,f16,f16,model_artifact_unavailable,false,model_acquisition,no validated OpenVINO artifact supplied for granite-8b fp16,,,,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,,,,,,,,,,,,,,,,
granite-30b__int4__tbq3,granite-30b,int4,tbq3,tbq3,tbq3,model_artifact_unavailable,false,model_acquisition,no validated OpenVINO artifact supplied for granite-30b int4,,,,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,,,,,,,,,,,,,,,,
granite-30b__int8__tbq3,granite-30b,int8,tbq3,tbq3,tbq3,model_artifact_unavailable,false,model_acquisition,no validated OpenVINO artifact supplied for granite-30b int8,,,,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,,,,,,,,,,,,,,,,
granite-30b__fp16__tbq3,granite-30b,fp16,tbq3,tbq3,tbq3,model_artifact_unavailable,false,model_acquisition,no validated OpenVINO artifact supplied for granite-30b fp16,,,,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,,,,,,,,,,,,,,,,
granite-30b__int4__polar3,granite-30b,int4,polar3,polar3,polar3,model_artifact_unavailable,false,model_acquisition,no validated OpenVINO artifact supplied for granite-30b int4,,,,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,,,,,,,,,,,,,,,,
granite-30b__int8__polar3,granite-30b,int8,polar3,polar3,polar3,model_artifact_unavailable,false,model_acquisition,no validated OpenVINO artifact supplied for granite-30b int8,,,,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,,,,,,,,,,,,,,,,
granite-30b__fp16__polar3,granite-30b,fp16,polar3,polar3,polar3,model_artifact_unavailable,false,model_acquisition,no validated OpenVINO artifact supplied for granite-30b fp16,,,,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,,,,,,,,,,,,,,,,
granite-30b__int4__tbq3_qjl,granite-30b,int4,tbq3_qjl,tbq3_qjl,tbq3_qjl,model_artifact_unavailable,false,model_acquisition,no validated OpenVINO artifact supplied for granite-30b int4,,,,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,,,,,,,,,,,,,,,,
granite-30b__int8__tbq3_qjl,granite-30b,int8,tbq3_qjl,tbq3_qjl,tbq3_qjl,model_artifact_unavailable,false,model_acquisition,no validated OpenVINO artifact supplied for granite-30b int8,,,,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,,,,,,,,,,,,,,,,
granite-30b__fp16__tbq3_qjl,granite-30b,fp16,tbq3_qjl,tbq3_qjl,tbq3_qjl,model_artifact_unavailable,false,model_acquisition,no validated OpenVINO artifact supplied for granite-30b fp16,,,,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,,,,,,,,,,,,,,,,
granite-30b__int4__u4,granite-30b,int4,u4,u4,u4,model_artifact_unavailable,false,model_acquisition,no validated OpenVINO artifact supplied for granite-30b int4,,,,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,,,,,,,,,,,,,,,,
granite-30b__int8__u4,granite-30b,int8,u4,u4,u4,model_artifact_unavailable,false,model_acquisition,no validated OpenVINO artifact supplied for granite-30b int8,,,,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,,,,,,,,,,,,,,,,
granite-30b__fp16__u4,granite-30b,fp16,u4,u4,u4,model_artifact_unavailable,false,model_acquisition,no validated OpenVINO artifact supplied for granite-30b fp16,,,,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,,,,,,,,,,,,,,,,
granite-30b__int4__tbq4,granite-30b,int4,tbq4,tbq4,tbq4,model_artifact_unavailable,false,model_acquisition,no validated OpenVINO artifact supplied for granite-30b int4,,,,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,,,,,,,,,,,,,,,,
granite-30b__int8__tbq4,granite-30b,int8,tbq4,tbq4,tbq4,model_artifact_unavailable,false,model_acquisition,no validated OpenVINO artifact supplied for granite-30b int8,,,,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,,,,,,,,,,,,,,,,
granite-30b__fp16__tbq4,granite-30b,fp16,tbq4,tbq4,tbq4,model_artifact_unavailable,false,model_acquisition,no validated OpenVINO artifact supplied for granite-30b fp16,,,,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,,,,,,,,,,,,,,,,
granite-30b__int4__polar4,granite-30b,int4,polar4,polar4,polar4,model_artifact_unavailable,false,model_acquisition,no validated OpenVINO artifact supplied for granite-30b int4,,,,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,,,,,,,,,,,,,,,,
granite-30b__int8__polar4,granite-30b,int8,polar4,polar4,polar4,model_artifact_unavailable,false,model_acquisition,no validated OpenVINO artifact supplied for granite-30b int8,,,,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,,,,,,,,,,,,,,,,
granite-30b__fp16__polar4,granite-30b,fp16,polar4,polar4,polar4,model_artifact_unavailable,false,model_acquisition,no validated OpenVINO artifact supplied for granite-30b fp16,,,,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,,,,,,,,,,,,,,,,
granite-30b__int4__tbq4_qjl,granite-30b,int4,tbq4_qjl,tbq4_qjl,tbq4_qjl,model_artifact_unavailable,false,model_acquisition,no validated OpenVINO artifact supplied for granite-30b int4,,,,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,,,,,,,,,,,,,,,,
granite-30b__int8__tbq4_qjl,granite-30b,int8,tbq4_qjl,tbq4_qjl,tbq4_qjl,model_artifact_unavailable,false,model_acquisition,no validated OpenVINO artifact supplied for granite-30b int8,,,,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,,,,,,,,,,,,,,,,
granite-30b__fp16__tbq4_qjl,granite-30b,fp16,tbq4_qjl,tbq4_qjl,tbq4_qjl,model_artifact_unavailable,false,model_acquisition,no validated OpenVINO artifact supplied for granite-30b fp16,,,,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,,,,,,,,,,,,,,,,
granite-30b__int4__u8,granite-30b,int4,u8,u8,u8,model_artifact_unavailable,false,model_acquisition,no validated OpenVINO artifact supplied for granite-30b int4,,,,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,,,,,,,,,,,,,,,,
granite-30b__int8__u8,granite-30b,int8,u8,u8,u8,model_artifact_unavailable,false,model_acquisition,no validated OpenVINO artifact supplied for granite-30b int8,,,,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,,,,,,,,,,,,,,,,
granite-30b__fp16__u8,granite-30b,fp16,u8,u8,u8,model_artifact_unavailable,false,model_acquisition,no validated OpenVINO artifact supplied for granite-30b fp16,,,,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,,,,,,,,,,,,,,,,
granite-30b__int4__f16,granite-30b,int4,f16,f16,f16,model_artifact_unavailable,false,model_acquisition,no validated OpenVINO artifact supplied for granite-30b int4,,,,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,,,,,,,,,,,,,,,,
granite-30b__int8__f16,granite-30b,int8,f16,f16,f16,model_artifact_unavailable,false,model_acquisition,no validated OpenVINO artifact supplied for granite-30b int8,,,,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,,,,,,,,,,,,,,,,
granite-30b__fp16__f16,granite-30b,fp16,f16,f16,f16,model_artifact_unavailable,false,model_acquisition,no validated OpenVINO artifact supplied for granite-30b fp16,,,,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,,,,,,,,,,,,,,,,
